               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045453,            0.065376,            0.016454,             0.66837,             0.60363,             0.68148,             0.44871,            0.041356,            0.037882,            0.010598,              0.0937,              0.0007,              0.0007
                   1,            0.043831,            0.061752,            0.017226,              0.7467,              0.6257,              0.7249,             0.48419,            0.040457,            0.036738,           0.0091014,            0.086426,           0.0014257,           0.0014257
                   2,            0.044736,            0.070215,            0.016044,             0.79916,             0.64226,             0.74809,             0.48533,            0.040162,            0.035864,           0.0080762,            0.079072,           0.0020723,           0.0020723
                   3,            0.043962,            0.062172,            0.013718,             0.80296,             0.64857,             0.76282,             0.50211,            0.039916,            0.035559,           0.0073614,             0.07164,           0.0026396,           0.0026396
                   4,            0.044337,            0.061096,            0.013427,             0.78484,             0.69242,             0.77456,             0.51705,            0.039678,            0.034903,           0.0067346,            0.064128,           0.0031278,           0.0031278
                   5,            0.044312,            0.056524,            0.013881,             0.80061,              0.6997,             0.79356,             0.50887,            0.040878,             0.03349,           0.0062077,            0.056537,           0.0035367,           0.0035367
                   6,            0.043918,            0.050771,            0.013537,             0.78471,             0.71599,             0.79397,             0.50147,            0.040899,            0.032932,           0.0059004,            0.048867,           0.0038665,           0.0038665
                   7,            0.045994,            0.060837,            0.010587,             0.76927,             0.74054,             0.79693,             0.50638,            0.041309,            0.032479,           0.0053926,            0.041117,           0.0041171,           0.0041171
                   8,            0.044793,            0.059056,            0.012674,             0.80443,             0.73617,             0.81673,             0.52186,             0.04104,            0.032217,           0.0050665,            0.033288,           0.0042884,           0.0042884
                   9,            0.043237,            0.055227,            0.010295,             0.79672,             0.76751,             0.82129,              0.5439,            0.040045,            0.031902,           0.0048985,            0.025381,           0.0043806,           0.0043806
                  10,            0.045646,             0.06288,            0.010157,             0.76846,             0.78435,              0.8205,             0.52367,            0.041358,            0.031157,           0.0046805,            0.017394,           0.0043935,           0.0043935
                  11,             0.04372,            0.056136,           0.0097977,             0.81894,             0.78028,             0.83339,             0.55975,            0.038958,            0.030123,           0.0045512,           0.0093273,           0.0043273,           0.0043273
                  12,             0.04256,            0.050349,            0.011392,             0.82726,             0.78278,             0.83543,             0.57364,            0.039469,            0.029168,           0.0043465,             0.00406,             0.00406,             0.00406
                  13,            0.043085,            0.055417,            0.010718,             0.82187,             0.77585,             0.83527,              0.5715,            0.039511,            0.028827,           0.0042536,             0.00406,             0.00406,             0.00406
                  14,             0.04146,            0.048572,           0.0091688,             0.85014,             0.78819,             0.84459,             0.58879,            0.037546,            0.028386,           0.0041095,            0.003565,            0.003565,            0.003565
                  15,             0.04011,            0.052083,           0.0088229,             0.88059,             0.78029,             0.85477,             0.59497,             0.03608,            0.027953,           0.0039741,             0.00307,             0.00307,             0.00307
                  16,            0.041547,            0.048615,           0.0090801,             0.88615,             0.79457,             0.86622,             0.61825,            0.035428,            0.027735,            0.003871,            0.002575,            0.002575,            0.002575
                  17,            0.038179,            0.048958,           0.0095012,             0.87178,             0.80702,             0.86768,             0.63024,            0.034656,            0.027588,           0.0037136,             0.00208,             0.00208,             0.00208
                  18,            0.037714,            0.048737,           0.0086194,             0.88306,             0.80087,             0.86787,             0.62887,            0.034329,            0.027477,           0.0036405,            0.001585,            0.001585,            0.001585
                  19,            0.036722,            0.049528,           0.0096582,             0.90186,             0.80037,             0.87354,              0.6388,            0.033786,             0.02727,           0.0035517,             0.00109,             0.00109,             0.00109
